book_id,print_series,size,type_of_print,translator_id,translator,shabak,gregorian_publish_year,solar_publish_year,page_count,Persian Title,English Title,Off,Rate,Break Price,Special_Price,Exist,Publisher,publisher id,Writer,writer id,Description,Feature,Category
43,80,رقعی,جلد سخت,,{164: 'پیمان خاکسار'},978-600229-5002,2008,1402,656,کتاب جزء از کل,A Fraction of the Whole,15 % تخفیف,3.7,"395,000","335,750",موجود,نشر چشمه,33,استیو تولتز,27,"جسپر دین، بیشتر عمرش نمی توانست تصمیم بگیرد چه رفتاری با پدر خود که مبتلا به بیماری پارانویا بود، داشته باشد؛ برای او دلسوزی کند، از او متنفر باشد، به او عشق بورزد یا حتی او را بکشد. مارتین، پدر جسپر، مردی بود که همه چیز را بیش از حد تجزیه و تحلیل می کرد و هوش و ذکاوت خودساخته اش را به تنها پسرش تحمیل کرده بود. اما حالا که مارتین مرده است، جسپر می تواند به طور کامل به کاوش در زندگی دیوانه ای که او را در اسارت فکری بزرگ کرده بود، بپردازد.
جسپر هنگامی که اتفاقات منجر به مرگ پدرش را در کنار هم قرار می دهد، کودکی سرشار از اتفاقات عجیب و شوکه کننده ی خود را بازمی یابد: درباره ی عموی بدنام و یاغی اش، مادری اروپایی که به شکل مرموزی همیشه مفقود بوده است و تلاش نافرجام مارتین در اینکه اثری جاودان از خود در این دنیا باقی بگذارد، دنیایی که همیشه به چشم حقارت و خواری به آن نگاه کرده بود. رمان جزء از کل، داستانی است که این شخصیت ها را از دشت های وحشی استرالیا به کافه های نامتعارف پاریس می کشاند، از جنگلی در تایلند به باشگاه های شبانه، پناهگاه ها، هزارتو ها و مخفی گاه های خلافکاران، و از بلندی های اولین عشق تا پستی های آرزویی بی ثمر. نتیجه ی چنین ماجراهایی، یک سفر طوفانی و هیجان انگیز از گمنامی به سوی رسوایی و داستان به یادماندنی و تکان دهنده ی پدر و پسری است که تقارن و شباهت روحی و فکری شان، بر همه ی کمبود ها و کاستی های پرتعداد آن ها، توفق و برتری می یابد.",['برنده جایزه ی NSW Premier سال 2009'],"['جایزه ی ان اس دبلیو پرایمر', 'ادبیات استرالیا', 'ادبیات داستانی', 'داستان فلسفی', 'ادبیات معاصر', 'داستان روانشناسانه', 'داستان کمدی (طنز)', 'دهه 2000 میلادی', 'پرفروش ترین کتاب ها', 'فهرست برترین رمان های قرن 21', 'فهرست برترین رمان های روانشناسانه', 'فهرست برترین رمان های نخست']"
43,80,رقعی,جلد سخت,,{164: 'پیمان خاکسار'},978-600229-5002,2008,1402,656,کتاب جزء از کل,A Fraction of the Whole,15 % تخفیف,3.7,"395,000","335,750",موجود,نشر چشمه,33,استیو تولتز,27,"جسپر دین، بیشتر عمرش نمی توانست تصمیم بگیرد چه رفتاری با پدر خود که مبتلا به بیماری پارانویا بود، داشته باشد؛ برای او دلسوزی کند، از او متنفر باشد، به او عشق بورزد یا حتی او را بکشد. مارتین، پدر جسپر، مردی بود که همه چیز را بیش از حد تجزیه و تحلیل می کرد و هوش و ذکاوت خودساخته اش را به تنها پسرش تحمیل کرده بود. اما حالا که مارتین مرده است، جسپر می تواند به طور کامل به کاوش در زندگی دیوانه ای که او را در اسارت فکری بزرگ کرده بود، بپردازد.
جسپر هنگامی که اتفاقات منجر به مرگ پدرش را در کنار هم قرار می دهد، کودکی سرشار از اتفاقات عجیب و شوکه کننده ی خود را بازمی یابد: درباره ی عموی بدنام و یاغی اش، مادری اروپایی که به شکل مرموزی همیشه مفقود بوده است و تلاش نافرجام مارتین در اینکه اثری جاودان از خود در این دنیا باقی بگذارد، دنیایی که همیشه به چشم حقارت و خواری به آن نگاه کرده بود. رمان جزء از کل، داستانی است که این شخصیت ها را از دشت های وحشی استرالیا به کافه های نامتعارف پاریس می کشاند، از جنگلی در تایلند به باشگاه های شبانه، پناهگاه ها، هزارتو ها و مخفی گاه های خلافکاران، و از بلندی های اولین عشق تا پستی های آرزویی بی ثمر. نتیجه ی چنین ماجراهایی، یک سفر طوفانی و هیجان انگیز از گمنامی به سوی رسوایی و داستان به یادماندنی و تکان دهنده ی پدر و پسری است که تقارن و شباهت روحی و فکری شان، بر همه ی کمبود ها و کاستی های پرتعداد آن ها، توفق و برتری می یابد.",['برنده جایزه ی NSW Premier سال 2009'],"['جایزه ی ان اس دبلیو پرایمر', 'ادبیات استرالیا', 'ادبیات داستانی', 'داستان فلسفی', 'ادبیات معاصر', 'داستان روانشناسانه', 'داستان کمدی (طنز)', 'دهه 2000 میلادی', 'پرفروش ترین کتاب ها', 'فهرست برترین رمان های قرن 21', 'فهرست برترین رمان های روانشناسانه', 'فهرست برترین رمان های نخست']"
71718,80,رقعی,جلد سخت,,{164: 'پیمان خاکسار'},978-6002295002,2008,1402,779,جزء از کل (مجموعه برگ و نوا),A Fraction of the Whole,15 % تخفیف,3.09,"390,000","331,500",موجود,نشر چشمه,33,استیو تولتز,27,"جسپر دین، بیشتر عمرش نمی توانست تصمیم بگیرد چه رفتاری با پدر خود که مبتلا به بیماری پارانویا بود، داشته باشد؛ برای او دلسوزی کند، از او متنفر باشد، به او عشق بورزد یا حتی او را بکشد. مارتین، پدر جسپر، مردی بود که همه چیز را بیش از حد تجزیه و تحلیل می کرد و هوش و ذکاوت خودساخته اش را به تنها پسرش تحمیل کرده بود. اما حالا که مارتین مرده است، جسپر می تواند به طور کامل به کاوش در زندگی دیوانه ای که او را در اسارت فکری بزرگ کرده بود، بپردازد.
جسپر هنگامی که اتفاقات منجر به مرگ پدرش را در کنار هم قرار می دهد، کودکی سرشار از اتفاقات عجیب و شوکه کننده ی خود را بازمی یابد: درباره ی عموی بدنام و یاغی اش، مادری اروپایی که به شکل مرموزی همیشه مفقود بوده است و تلاش نافرجام مارتین در اینکه اثری جاودان از خود در این دنیا باقی بگذارد، دنیایی که همیشه به چشم حقارت و خواری به آن نگاه کرده بود. رمان جزء از کل، داستانی است که این شخصیت ها را از دشت های وحشی استرالیا به کافه های نامتعارف پاریس می کشاند، از جنگلی در تایلند به باشگاه های شبانه، پناهگاه ها، هزارتو ها و مخفی گاه های خلافکاران، و از بلندی های اولین عشق تا پستی های آرزویی بی ثمر. نتیجه ی چنین ماجراهایی، یک سفر طوفانی و هیجان انگیز از گمنامی به سوی رسوایی و داستان به یادماندنی و تکان دهنده ی پدر و پسری است که تقارن و شباهت روحی و فکری شان، بر همه ی کمبود ها و کاستی های پرتعداد آن ها، توفق و برتری می یابد.",['برنده جایزه ی NSW Premier سال 2009'],"['جایزه ی ان اس دبلیو پرایمر', 'ادبیات استرالیا', 'ادبیات داستانی', 'داستان فلسفی', 'ادبیات معاصر', 'داستان روانشناسانه', 'داستان کمدی (طنز)', 'دهه 2000 میلادی', 'پرفروش ترین کتاب ها', 'فهرست برترین رمان های قرن 21', 'فهرست برترین رمان های روانشناسانه', 'فهرست برترین رمان های نخست']"
92408,4,رقعی,جلد سخت,,{49301: 'گلناز سهرابی'},978-6009896486,2008,1401,544,جزء از کل,A Fraction of the Whole,40 % تخفیف,3.2,"420,000","252,000",موجود,ندای معاصر (زرین کلک),1869,استیو تولتز,27,"جسپر دین، بیشتر عمرش نمی توانست تصمیم بگیرد چه رفتاری با پدر خود که مبتلا به بیماری پارانویا بود، داشته باشد؛ برای او دلسوزی کند، از او متنفر باشد، به او عشق بورزد یا حتی او را بکشد. مارتین، پدر جسپر، مردی بود که همه چیز را بیش از حد تجزیه و تحلیل می کرد و هوش و ذکاوت خودساخته اش را به تنها پسرش تحمیل کرده بود. اما حالا که مارتین مرده است، جسپر می تواند به طور کامل به کاوش در زندگی دیوانه ای که او را در اسارت فکری بزرگ کرده بود، بپردازد.
جسپر هنگامی که اتفاقات منجر به مرگ پدرش را در کنار هم قرار می دهد، کودکی سرشار از اتفاقات عجیب و شوکه کننده ی خود را بازمی یابد: درباره ی عموی بدنام و یاغی اش، مادری اروپایی که به شکل مرموزی همیشه مفقود بوده است و تلاش نافرجام مارتین در اینکه اثری جاودان از خود در این دنیا باقی بگذارد، دنیایی که همیشه به چشم حقارت و خواری به آن نگاه کرده بود. رمان جزء از کل، داستانی است که این شخصیت ها را از دشت های وحشی استرالیا به کافه های نامتعارف پاریس می کشاند، از جنگلی در تایلند به باشگاه های شبانه، پناهگاه ها، هزارتو ها و مخفی گاه های خلافکاران، و از بلندی های اولین عشق تا پستی های آرزویی بی ثمر. نتیجه ی چنین ماجراهایی، یک سفر طوفانی و هیجان انگیز از گمنامی به سوی رسوایی و داستان به یادماندنی و تکان دهنده ی پدر و پسری است که تقارن و شباهت روحی و فکری شان، بر همه ی کمبود ها و کاستی های پرتعداد آن ها، توفق و برتری می یابد.",['برنده جایزه ی NSW Premier سال 2009'],"['جایزه ی ان اس دبلیو پرایمر', 'ادبیات استرالیا', 'ادبیات داستانی', 'داستان فلسفی', 'ادبیات معاصر', 'داستان روانشناسانه', 'داستان کمدی (طنز)', 'دهه 2000 میلادی', 'پرفروش ترین کتاب ها', 'فهرست برترین رمان های قرن 21', 'فهرست برترین رمان های روانشناسانه', 'فهرست برترین رمان های نخست']"
92404,4,رقعی,شومیز,,{49301: 'گلناز سهرابی'},978-6009896400,2008,1401,544,جزء از کل,A Fraction of the Whole,40 % تخفیف,3.22,"500,000","300,000",موجود,ندای معاصر (زرین کلک),1869,استیو تولتز,27,"جسپر دین، بیشتر عمرش نمی توانست تصمیم بگیرد چه رفتاری با پدر خود که مبتلا به بیماری پارانویا بود، داشته باشد؛ برای او دلسوزی کند، از او متنفر باشد، به او عشق بورزد یا حتی او را بکشد. مارتین، پدر جسپر، مردی بود که همه چیز را بیش از حد تجزیه و تحلیل می کرد و هوش و ذکاوت خودساخته اش را به تنها پسرش تحمیل کرده بود. اما حالا که مارتین مرده است، جسپر می تواند به طور کامل به کاوش در زندگی دیوانه ای که او را در اسارت فکری بزرگ کرده بود، بپردازد.
جسپر هنگامی که اتفاقات منجر به مرگ پدرش را در کنار هم قرار می دهد، کودکی سرشار از اتفاقات عجیب و شوکه کننده ی خود را بازمی یابد: درباره ی عموی بدنام و یاغی اش، مادری اروپایی که به شکل مرموزی همیشه مفقود بوده است و تلاش نافرجام مارتین در اینکه اثری جاودان از خود در این دنیا باقی بگذارد، دنیایی که همیشه به چشم حقارت و خواری به آن نگاه کرده بود. رمان جزء از کل، داستانی است که این شخصیت ها را از دشت های وحشی استرالیا به کافه های نامتعارف پاریس می کشاند، از جنگلی در تایلند به باشگاه های شبانه، پناهگاه ها، هزارتو ها و مخفی گاه های خلافکاران، و از بلندی های اولین عشق تا پستی های آرزویی بی ثمر. نتیجه ی چنین ماجراهایی، یک سفر طوفانی و هیجان انگیز از گمنامی به سوی رسوایی و داستان به یادماندنی و تکان دهنده ی پدر و پسری است که تقارن و شباهت روحی و فکری شان، بر همه ی کمبود ها و کاستی های پرتعداد آن ها، توفق و برتری می یابد.",['برنده جایزه ی NSW Premier سال 2009'],"['جایزه ی ان اس دبلیو پرایمر', 'ادبیات استرالیا', 'ادبیات داستانی', 'داستان فلسفی', 'ادبیات معاصر', 'داستان روانشناسانه', 'داستان کمدی (طنز)', 'دهه 2000 میلادی', 'پرفروش ترین کتاب ها', 'فهرست برترین رمان های قرن 21', 'فهرست برترین رمان های روانشناسانه', 'فهرست برترین رمان های نخست']"
2030,18,رقعی,شومیز,,{16: 'مهدی غبرایی'},978-964-448-297-7,2003,1400,368,کتاب بادبادک باز,The Kite Runner,15 % تخفیف,4.06,"165,000","140,250",موجود,نیلوفر,67,خالد حسینی,74,امیر، پسر یک تاجر ثروتمند کابلی و از قبیله ی صاحب قدرت پشتون ها است. حسن، خدمتکار و همراه همیشگی امیر، از قبیله ی طرد شده و فقرزده ی هزاره ها است. رابطه ی غیرمعمول این دو شخصیت، با تصمیم امیر به ترک دوستش در خلال تنش ها و ناآرامی های قومی، مذهبی و سیاسی سال های پایانی پادشاهی افغانستان، از هم می پاشد و این دو از هم بسیار دور می افتند. اما رابطه ی میان این دو شخصیت، آن قدر قوی است که امیر، برای جبران اشتباهات گذشته در قبال تنها دوست حقیقی اش، مسیری بسیار طولانی را بازمی گردد. رمان بادبادک باز، داستان به یادماندنی و تأثیرگذار یک دوستی نامحتمل بین پسری ثروتمند و فرزند خدمتکار پدرش را به شکلی استادانه روایت می کند؛ داستانی که در کشوری رو به نابودی و اضمحلال اتفاق می افتد و به قدرت دانش، تاوان خیانت، امکان رستگاری و عشق، ایثار و دروغ های میان دو پدر و پسران شان می پردازد. رمان بادبادک باز، رمانی غیرمعمول و قدرتمند است که به یک اثر کلاسیک منحصربه فرد و دوست داشتنی تبدیل شده است.,"['برنده جایزه بوکه سال 2004', 'در سال ۲۰۰۷ میلادی فیلمی بر اساس این کتاب ساخته شد.']","['ادبیات اقتباسی', 'جایزه ی الکس', 'جایزه ی بوکه', 'ادبیات آمریکا', 'داستان تاریخی', 'ادبیات داستانی', 'ادبیات مهاجرت', 'ادبیات افغانستان', 'دهه 2000 میلادی', 'رمان', 'پر بازدید ترین کتاب ها', 'پرافتخارترین کتاب ها', 'پرفروش ترین کتاب ها', 'کتاب هایی که به بیشترین زبان های دنیا ترجمه شده اند', 'جایزه ادبی Elle', 'فهرست برترین رمان های تاریخی', 'برترین آثار تبدیل شده به فیلم و سریال', 'فهرست برترین رمان های قرن 21', 'فهرست برترین کتاب های امیدبخش', 'فهرست برترین رمان های نخست', 'فهرست برترین کتاب های «ادبیات مهاجرت»']"
2030,18,رقعی,شومیز,,{16: 'مهدی غبرایی'},978-964-448-297-7,2003,1400,368,کتاب بادبادک باز,The Kite Runner,15 % تخفیف,4.06,"165,000","140,250",موجود,نیلوفر,67,خالد حسینی,74,امیر، پسر یک تاجر ثروتمند کابلی و از قبیله ی صاحب قدرت پشتون ها است. حسن، خدمتکار و همراه همیشگی امیر، از قبیله ی طرد شده و فقرزده ی هزاره ها است. رابطه ی غیرمعمول این دو شخصیت، با تصمیم امیر به ترک دوستش در خلال تنش ها و ناآرامی های قومی، مذهبی و سیاسی سال های پایانی پادشاهی افغانستان، از هم می پاشد و این دو از هم بسیار دور می افتند. اما رابطه ی میان این دو شخصیت، آن قدر قوی است که امیر، برای جبران اشتباهات گذشته در قبال تنها دوست حقیقی اش، مسیری بسیار طولانی را بازمی گردد. رمان بادبادک باز، داستان به یادماندنی و تأثیرگذار یک دوستی نامحتمل بین پسری ثروتمند و فرزند خدمتکار پدرش را به شکلی استادانه روایت می کند؛ داستانی که در کشوری رو به نابودی و اضمحلال اتفاق می افتد و به قدرت دانش، تاوان خیانت، امکان رستگاری و عشق، ایثار و دروغ های میان دو پدر و پسران شان می پردازد. رمان بادبادک باز، رمانی غیرمعمول و قدرتمند است که به یک اثر کلاسیک منحصربه فرد و دوست داشتنی تبدیل شده است.,"['برنده جایزه بوکه سال 2004', 'در سال ۲۰۰۷ میلادی فیلمی بر اساس این کتاب ساخته شد.']","['ادبیات اقتباسی', 'جایزه ی الکس', 'جایزه ی بوکه', 'ادبیات آمریکا', 'داستان تاریخی', 'ادبیات داستانی', 'ادبیات مهاجرت', 'ادبیات افغانستان', 'دهه 2000 میلادی', 'رمان', 'پر بازدید ترین کتاب ها', 'پرافتخارترین کتاب ها', 'پرفروش ترین کتاب ها', 'کتاب هایی که به بیشترین زبان های دنیا ترجمه شده اند', 'جایزه ادبی Elle', 'فهرست برترین رمان های تاریخی', 'برترین آثار تبدیل شده به فیلم و سریال', 'فهرست برترین رمان های قرن 21', 'فهرست برترین کتاب های امیدبخش', 'فهرست برترین رمان های نخست', 'فهرست برترین کتاب های «ادبیات مهاجرت»']"
3806,25,رقعی,شومیز,,"{2549: 'پریسا سلیمان زاده', 2550: 'زیبا گنجی'}",9789645881922,2003,1402,419,بادبادک باز,The Kite Runner,15 % تخفیف,3.07,"195,000","165,750",موجود,مروارید,59,خالد حسینی,74,امیر، پسر یک تاجر ثروتمند کابلی و از قبیله ی صاحب قدرت پشتون ها است. حسن، خدمتکار و همراه همیشگی امیر، از قبیله ی طرد شده و فقرزده ی هزاره ها است. رابطه ی غیرمعمول این دو شخصیت، با تصمیم امیر به ترک دوستش در خلال تنش ها و ناآرامی های قومی، مذهبی و سیاسی سال های پایانی پادشاهی افغانستان، از هم می پاشد و این دو از هم بسیار دور می افتند. اما رابطه ی میان این دو شخصیت، آن قدر قوی است که امیر، برای جبران اشتباهات گذشته در قبال تنها دوست حقیقی اش، مسیری بسیار طولانی را بازمی گردد. رمان بادبادک باز، داستان به یادماندنی و تأثیرگذار یک دوستی نامحتمل بین پسری ثروتمند و فرزند خدمتکار پدرش را به شکلی استادانه روایت می کند؛ داستانی که در کشوری رو به نابودی و اضمحلال اتفاق می افتد و به قدرت دانش، تاوان خیانت، امکان رستگاری و عشق، ایثار و دروغ های میان دو پدر و پسران شان می پردازد. رمان بادبادک باز، رمانی غیرمعمول و قدرتمند است که به یک اثر کلاسیک منحصربه فرد و دوست داشتنی تبدیل شده است.,"['برنده جایزه بوکه سال 2004', 'در سال ۲۰۰۷ میلادی فیلمی بر اساس این کتاب ساخته شد.']","['ادبیات اقتباسی', 'جایزه ی الکس', 'جایزه ی بوکه', 'ادبیات آمریکا', 'داستان تاریخی', 'ادبیات داستانی', 'ادبیات مهاجرت', 'ادبیات افغانستان', 'دهه 2000 میلادی', 'رمان', 'پر بازدید ترین کتاب ها', 'پرافتخارترین کتاب ها', 'پرفروش ترین کتاب ها', 'کتاب هایی که به بیشترین زبان های دنیا ترجمه شده اند', 'جایزه ادبی Elle', 'فهرست برترین رمان های تاریخی', 'برترین آثار تبدیل شده به فیلم و سریال', 'فهرست برترین رمان های قرن 21', 'فهرست برترین کتاب های امیدبخش', 'فهرست برترین رمان های نخست', 'فهرست برترین کتاب های «ادبیات مهاجرت»']"
84,2,رقعی,شومیز,,{},978-600-7987-29-2,2003,1398,432,بادبادک باز,The Kite Runner,20 % تخفیف,4.27,"130,000","104,000",موجود,مجید (به سخن),96,خالد حسینی,74,امیر، پسر یک تاجر ثروتمند کابلی و از قبیله ی صاحب قدرت پشتون ها است. حسن، خدمتکار و همراه همیشگی امیر، از قبیله ی طرد شده و فقرزده ی هزاره ها است. رابطه ی غیرمعمول این دو شخصیت، با تصمیم امیر به ترک دوستش در خلال تنش ها و ناآرامی های قومی، مذهبی و سیاسی سال های پایانی پادشاهی افغانستان، از هم می پاشد و این دو از هم بسیار دور می افتند. اما رابطه ی میان این دو شخصیت، آن قدر قوی است که امیر، برای جبران اشتباهات گذشته در قبال تنها دوست حقیقی اش، مسیری بسیار طولانی را بازمی گردد. رمان بادبادک باز، داستان به یادماندنی و تأثیرگذار یک دوستی نامحتمل بین پسری ثروتمند و فرزند خدمتکار پدرش را به شکلی استادانه روایت می کند؛ داستانی که در کشوری رو به نابودی و اضمحلال اتفاق می افتد و به قدرت دانش، تاوان خیانت، امکان رستگاری و عشق، ایثار و دروغ های میان دو پدر و پسران شان می پردازد. رمان بادبادک باز، رمانی غیرمعمول و قدرتمند است که به یک اثر کلاسیک منحصربه فرد و دوست داشتنی تبدیل شده است.,"['برنده جایزه بوکه سال 2004', 'در سال ۲۰۰۷ میلادی فیلمی بر اساس این کتاب ساخته شد.']","['ادبیات اقتباسی', 'جایزه ی الکس', 'جایزه ی بوکه', 'ادبیات آمریکا', 'داستان تاریخی', 'ادبیات داستانی', 'ادبیات مهاجرت', 'ادبیات افغانستان', 'دهه 2000 میلادی', 'رمان', 'پر بازدید ترین کتاب ها', 'پرافتخارترین کتاب ها', 'پرفروش ترین کتاب ها', 'کتاب هایی که به بیشترین زبان های دنیا ترجمه شده اند', 'جایزه ادبی Elle', 'فهرست برترین رمان های تاریخی', 'برترین آثار تبدیل شده به فیلم و سریال', 'فهرست برترین رمان های قرن 21', 'فهرست برترین کتاب های امیدبخش', 'فهرست برترین رمان های نخست', 'فهرست برترین کتاب های «ادبیات مهاجرت»']"
43378,2,وزیری,شومیز,,{1124: 'نیلوفر امن زاده'},978-6004627634,2003,1399,132,بادبادک باز,The Kite Runner,15 % تخفیف,3.85,"45,000","38,250",موجود,پرتقال,28,خالد حسینی,74,امیر، پسر یک تاجر ثروتمند کابلی و از قبیله ی صاحب قدرت پشتون ها است. حسن، خدمتکار و همراه همیشگی امیر، از قبیله ی طرد شده و فقرزده ی هزاره ها است. رابطه ی غیرمعمول این دو شخصیت، با تصمیم امیر به ترک دوستش در خلال تنش ها و ناآرامی های قومی، مذهبی و سیاسی سال های پایانی پادشاهی افغانستان، از هم می پاشد و این دو از هم بسیار دور می افتند. اما رابطه ی میان این دو شخصیت، آن قدر قوی است که امیر، برای جبران اشتباهات گذشته در قبال تنها دوست حقیقی اش، مسیری بسیار طولانی را بازمی گردد. رمان بادبادک باز، داستان به یادماندنی و تأثیرگذار یک دوستی نامحتمل بین پسری ثروتمند و فرزند خدمتکار پدرش را به شکلی استادانه روایت می کند؛ داستانی که در کشوری رو به نابودی و اضمحلال اتفاق می افتد و به قدرت دانش، تاوان خیانت، امکان رستگاری و عشق، ایثار و دروغ های میان دو پدر و پسران شان می پردازد. رمان بادبادک باز، رمانی غیرمعمول و قدرتمند است که به یک اثر کلاسیک منحصربه فرد و دوست داشتنی تبدیل شده است.,"['برنده جایزه بوکه سال 2004', 'در سال ۲۰۰۷ میلادی فیلمی بر اساس این کتاب ساخته شد.']","['ادبیات اقتباسی', 'جایزه ی الکس', 'جایزه ی بوکه', 'ادبیات آمریکا', 'داستان تاریخی', 'ادبیات داستانی', 'ادبیات مهاجرت', 'ادبیات افغانستان', 'دهه 2000 میلادی', 'رمان', 'پر بازدید ترین کتاب ها', 'پرافتخارترین کتاب ها', 'پرفروش ترین کتاب ها', 'کتاب هایی که به بیشترین زبان های دنیا ترجمه شده اند', 'جایزه ادبی Elle', 'فهرست برترین رمان های تاریخی', 'برترین آثار تبدیل شده به فیلم و سریال', 'فهرست برترین رمان های قرن 21', 'فهرست برترین کتاب های امیدبخش', 'فهرست برترین رمان های نخست', 'فهرست برترین کتاب های «ادبیات مهاجرت»']"
